value,description
1,"Northern New England (New Hampshire and Maine)" 
2,"Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)"
3,New York
4,New Jersey
5,"Mid-Atlantic (Delaware, District of Columbia and Maryland)"
6,"Pennsylvania, West Virginia"
7,Virginia
8,North Carolina
9,South Carolina
10,Georgia
11,Florida
12,"Alabama, Tennessee"
13,Michigan
14,Ohio
15,"Indiana, Kentucky"
16,Wisconsin
17,Illinois
18,Missouri
19,Arkansas
20,Mississippi
21,Louisiana
22,Texas
23,Oklahoma
24,Kansas
25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
26,New Mexico
27,Colorado
28,Arizona
29,Nevada
30,"Oregon, Washington"
31,"Idaho, Utah"
32,California
33,Hawaii
34,Alaska
35,American Samoa
36,Guam
37,Northern Mariana Islands
38,Puerto Rico
39,U.S. Virgin Islands
