dose_form_group_rxcui,dose_form_group_name,route_name
1294712,Wafer Product,
1294702,Lozenge Product,oral
1294705,Oral Cream Product,topical
1294703,Mouthwash Product,dental
1294700,Crystal Product,
1294713,Disintegrating Oral Product,oral
1151132,Dental Product,dental
1294723,Transdermal Product,transdermal
1151141,Prefilled Applicator Product,
1151131,Oral Product,oral
1294704,Oral Ointment Product,topical
1151127,Rectal Product,rectal
1151133,Pill,
1151138,Intraperitoneal Product,intraperitoneal
1151129,Mucosal Product,mucosal
1294701,Buccal Product,buccal
1151136,Drug Implant Product,implant
1294708,Granule Product,
1151137,Oral Liquid Product,oral
1151122,Topical Product,topical
1294718,Oral Spray Product,oral
1151126,Injectable Product,injection
1151142,Urethral Product,urethral
1151123,Inhalant Product,inhalation
1732875,Intratracheal Product,intratracheal
2375728,Pyelocalyceal Product,pyelocalyceal
1294717,Flake Product,
1151139,Irrigation Product,
1294721,Soap Product,topical
1294711,Oral Powder Product,oral
1294709,Oral Foam Product,oral
1151140,Paste Product,
1151125,Vaginal Product,vaginal
1294722,Oral Gel Product,topical
1151135,Ophthalmic Product,ophthalmic
1294706,Sublingual Product,sublingual
1294715,Shampoo Product,topical
1294710,Oral Paste Product,oral
1151124,Medicated Pad or Tape,topical
1151130,Nasal Product,nasal
1151134,Otic Product,otic
2269502,Oral Film Product,oral
1294716,Chewable Product,oral
1294719,Pudding Product,oral
1294707,Toothpaste Product,dental
1294714,Pellet Product,
